000007	7
000011	2
000016	13
000018	4
000020	27
000022	14
000028	18
000029	7
000030	2
000032	8
000033	10
000034	1
000038	19
000048	7
000049	75
000050	8
000078	49
000096	5
000166	1
000333	25
000007	7
000011	2
000016	13
000018	4
000020	27
000022	14
000028	18
000029	7
000030	2
000032	8
000033	10
000034	1
000038	19
000048	7
000049	75
000050	8
000078	49
000096	5
000166	1
000333	25
000422	28
000425	14
000429	22
000498	5
000502	3
000505	13
000513	8
000524	4
000525	18
000536	15
000538	34
000543	8
000553	1
000558	1
000559	5
000561	1
000567	8
000581	13
000584	2
000589	3
000596	5
000601	2
000606	1
000607	3
000609	12
000615	80
000619	4
000625	18
000626	117
000631	27
000632	20
000635	2
000637	1
000651	112
000656	8
000657	3
000661	45
000666	48
000668	32
000676	2
000677	8
000680	9
000697	1
000709	12
000711	46
000712	115
000722	4
000726	1
000729	2
000738	1
000752	3
000755	7
000756	5
000762	5
000780	2
000788	31
000799	2
000801	2
000807	3
000816	1
000818	1
000819	1
000823	3
000829	23
000835	9
000839	20
000848	10
000858	14
000876	4
000877	12
000882	7
000885	2
000886	1
000890	1
000895	5
000898	2
000900	15
000903	6
000909	9
000910	78
000912	45
000915	3
000918	3
000927	1
000928	11
000929	4
000931	1
000932	5
000935	2
000937	14
000958	5
000962	6
000966	41
000969	1
000970	1
000973	4
000978	8
000980	1
002003	1
002006	2
002009	2
002011	4
002014	5
002016	17
002147	33591
002205	71739
002737	3
002738	2
002749	11
002763	3
002769	331
002773	3
002777	11
002782	1
002783	13
002790	10
002795	5
002796	2
002798	3
300017	1
300021	3
300028	20
300033	39
300036	1
300039	2
300042	1
300043	1
300052	5
300059	40
300071	4
300113	9
300114	1
300125	2
300154	2
300164	3
300167	1
300174	3
300175	3
300176	8
300204	3
300205	2
300207	4
300208	3
300215	3
300226	73
300240	1
300288	1
300289	2
300293	17
300295	2
300302	17
300304	12
300310	1
300321	10
300357	2
300360	5
300376	4
300389	6
300400	1
600009	9
600011	13
600012	3
600018	3
600021	12
600022	15
600023	4
600027	2
600028	3
600052	8
600053	4
600054	1
600056	7
600159	76644
600186	223367
600188	9603262
600192	270981
600197	60867
600200	253812
600213	254901
600348	2032117
600682	44
600686	25
600688	3
600692	50
600696	2
600704	60
600705	116
600713	20
600714	1
600717	15
600721	75
600722	15
600723	1
600726	23
600734	15
600735	2
600742	10
600744	35
600748	5
600750	11
600753	19
600755	27
600756	6
600758	24
600761	4
600764	1
600765	17
600775	1
600778	14
600779	4
600781	3
600784	25
600797	5
600803	26
600805	3
600808	5
600809	1
600819	3
600820	11
600822	6
600824	1
600825	14
600826	49
600829	67
600830	1
600835	35
600837	1
600841	3
600850	8
600851	5
600853	8
600855	2
600860	3
600864	9
600865	1
600873	3
600874	21
600876	16
600879	2
600880	1
600881	39
600883	7
600887	6
600890	1
600895	2
600896	9
600897	15
600898	1
600900	6
600962	9
600970	4
600980	6
600987	4
600992	1
600997	21
601002	3
601006	3
601088	1
601098	5
601106	2
601111	12
601113	1
601139	7
601158	4
601168	21
601177	6
601179	3
601188	1
601199	4
601311	1
601368	4
601388	13
601515	7
601558	4
601566	5
601608	1
601678	1
601799	5
601801	3
601872	2
601877	17
601890	7
601899	106
601900	4
601965	2
601991	5
603002	5
603006	1
603009	6
603101	10
603188	2
603199	3
603288	1
603299	4
603306	10
603328	9
603339	4
603377	5
603398	1
603528	12
603609	4
603686	9
603699	6
603959	543367
